เบอร์,ราคาเบอร์,แพ็กเกจ,เครือข่าย,สถานะ
0645149536,,-,true,active
0645149545,,-,true,active
0645149635,,-,true,active
0645153265,39000,-,true,active
0645153295,29900,-,true,active
0645153514,48000,-,true,active
0645153565,45000,-,true,active
0645153595,38000,-,true,active
0645153635,25000,-,true,active
0645153645,31500,-,true,active
0645153695,35900,-,true,active
0645153915,38500,-,true,active
0645153935,35000,-,true,active
0645153936,29000,-,true,active
0645153956,45000,-,true,active
0645153965,29500,-,true,active
0645154145,,-,true,active
0645154151,85500,-,true,active
0645154156,49500,-,true,active
0645154159,35000,-,true,active
0645154195,25500,-,true,active
0645154235,22500,-,true,active
0645154295,45000,-,true,active
0645154415,95000,-,true,active
0645154514,21500,-,true,active
0645154519,29500,-,true,active
0645154535,29000,-,true,active
0645154536,39900,-,true,active
0645154539,29500,-,true,active
0645154564,35000,-,true,active
0645154595,55000,-,true,active
0645154635,25000,-,true,active
0645154645,49500,-,true,active
0645154659,43000,-,true,active
0645154915,45000,-,true,active
0645154935,25700,-,true,active
0645154945,29900,-,true,active
0645154965,28900,-,true,active
0645155356,27500,-,true,active
0645155365,28990,-,true,active
0645155395,27500,-,true,active
0645155415,300000,-,true,active
0645155465,100000,-,true,active
0645155935,22500,-,true,active
0645155936,37500,-,true,active
0645155965,29000,-,true,active
0645156235,23500,-,true,active
0645156245,26500,-,true,active
0645156265,49500,-,true,active
0645156295,47000,-,true,active
0645156356,29900,-,true,active
0645156359,27200,-,true,active
0645156364,23500,-,true,active
0645156394,25000,-,true,active
0645156415,29500,-,true,active
0645156495,,-,true,active
0645156514,29500,-,true,active
0645156519,39000,-,true,active
0645156541,45000,-,true,active
0645156915,79500,-,true,active
0645156945,25000,-,true,active
0645156951,65000,-,true,active
0645156954,25000,-,true,active
0645156956,27500,-,true,active
0645156959,35900,-,true,active
0645159145,43500,-,true,active
0645159151,52000,-,true,active
0645159156,26000,-,true,active
0645159245,49900,-,true,active
0645159265,27500,-,true,active
0645159356,23500,-,true,active
0645159359,28500,-,true,active
0645159365,27500,-,true,active
0645159394,29500,-,true,active
0645159395,29000,-,true,active
0645159415,45000,-,true,active
0645159451,62000,-,true,active
0645159459,25000,-,true,active
0645159465,45000,-,true,active
0645159495,28000,-,true,active
0645159514,35000,-,true,active
0645159545,45000,-,true,active
0645159635,49500,-,true,active
0645159651,48500,-,true,active
0645159656,35500,-,true,active
0645159659,29000,-,true,active
0645361416,,-,true,active
0645361541,,-,true,active
0645361546,,-,true,active
0645361549,35500,-,true,active
0645361645,,-,true,active
0645361935,,-,true,active
0645361945,,-,true,active
0645361951,28000,-,true,active
0645361954,,-,true,active
0645361959,25000,-,true,active
0645361965,39000,-,true,active
0645363265,,-,true,active
0645363565,23000,-,true,active
0645364239,38000,-,true,active
0645364416,28500,-,true,active
0645364516,,-,true,active
0645364695,,-,true,active
0645364924,,-,true,active
0645364936,38500,-,true,active
0645364939,35500,-,true,active
0645364965,55000,-,true,active
0645365329,25700,-,true,active
0645365416,,-,true,active
0645365639,,-,true,active
0645365695,,-,true,active
0645365924,28500,-,true,active
0645365936,45000,-,true,active
0645365939,43500,-,true,active
0645365946,35000,-,true,active
0645365965,24000,-,true,active
0645366145,35000,-,true,active
0645366154,25900,-,true,active
0645366195,,-,true,active
0645366236,38500,-,true,active
0645366516,,-,true,active
0645366935,,-,true,active
0645366945,,-,true,active
0645366954,48500,-,true,active
0645369165,,-,true,active
0645369235,,-,true,active
0645369265,,-,true,active
0645369295,38500,-,true,active
0645369354,37900,-,true,active
0645369454,,-,true,active
